,id,city,lastUpdated,firstUpdated,measurements,latitude,longitude,modelName,manufacturerName
0,232954,,2024-02-07T14:12:43+00:00,2021-08-20T23:14:31+00:00,2770572,50.28057,-119.21143,PurpleAir Sensor,PurpleAir
1,62646,,2024-02-07T14:12:43+00:00,2023-05-07T23:59:02+00:00,1308978,49.021236,-122.32605,PurpleAir Sensor,PurpleAir
2,70100,,2024-02-07T14:12:43+00:00,2021-01-14T01:19:02+00:00,3527346,45.548714,-73.243225,PurpleAir Sensor,PurpleAir
3,1335197,,2024-02-07T14:12:43+00:00,2023-07-27T19:53:13+00:00,846963,51.007652,-118.20997,PurpleAir Sensor,PurpleAir
4,71990,,2024-02-07T14:12:43+00:00,2021-01-14T01:18:21+00:00,2855731,45.317554,-75.69054,PurpleAir Sensor,PurpleAir
5,229820,,2024-02-07T14:12:43+00:00,2021-07-19T20:50:51+00:00,2743926,51.215492,-114.46866,PurpleAir Sensor,PurpleAir
6,357119,,2024-02-07T14:12:43+00:00,2022-08-17T22:07:02+00:00,996126,67.43806,-134.88568,PurpleAir Sensor,PurpleAir
7,354031,,2024-02-07T14:12:42+00:00,2021-10-18T20:47:37+00:00,1868484,54.043056,-124.12349,PurpleAir Sensor,PurpleAir
8,926610,,2024-02-07T14:12:42+00:00,2023-05-17T17:36:46+00:00,696468,49.54992,-114.288376,PurpleAir Sensor,PurpleAir
9,1570341,,2024-02-07T14:12:42+00:00,2023-09-13T22:39:19+00:00,636337,49.14184,-122.29745,N/A,OpenAQ admin
10,68842,,2024-02-07T14:12:42+00:00,2021-01-14T01:18:26+00:00,2052774,54.36268,-128.55585,PurpleAir Sensor,PurpleAir
11,222955,,2024-02-07T14:12:42+00:00,2021-03-22T00:04:15+00:00,3294816,50.094913,-122.995,PurpleAir Sensor,PurpleAir
12,270364,,2024-02-07T14:12:41+00:00,2022-10-13T14:55:37+00:00,1299240,53.444202,-105.37223,PurpleAir Sensor,PurpleAir
13,484188,,2024-02-07T14:12:41+00:00,2023-01-16T00:01:33+00:00,1222092,49.279163,-123.07968,PurpleAir Sensor,PurpleAir
14,269786,,2024-02-07T14:12:41+00:00,2021-10-12T17:03:37+00:00,3027318,50.675323,-120.27428,PurpleAir Sensor,PurpleAir
15,1327697,,2024-02-07T14:12:41+00:00,2023-07-26T22:29:10+00:00,845568,53.938656,-122.71061,PurpleAir Sensor,PurpleAir
16,223018,,2024-02-07T14:12:41+00:00,2021-03-22T21:39:40+00:00,1190250,55.178795,-102.92755,PurpleAir Sensor,PurpleAir
17,1067797,,2024-02-07T14:12:41+00:00,2023-06-08T23:15:09+00:00,362616,51.01696,-93.83011,PurpleAir Sensor,PurpleAir
18,1803916,,2024-02-07T14:12:41+00:00,2023-11-06T02:41:16+00:00,385424,53.46823,-113.535736,N/A,OpenAQ admin
19,276681,,2024-02-07T14:12:41+00:00,2022-01-07T09:30:37+00:00,2322516,45.92879,-66.62811,PurpleAir Sensor,PurpleAir
20,1185036,,2024-02-07T14:12:41+00:00,2023-07-09T00:10:47+00:00,934728,49.45356,-123.23332,PurpleAir Sensor,PurpleAir
21,371237,,2024-02-07T14:12:40+00:00,2022-11-17T06:47:20+00:00,1561086,54.696453,-127.05112,PurpleAir Sensor,PurpleAir
22,614375,,2024-02-07T14:12:40+00:00,2023-03-19T19:01:42+00:00,1122486,45.95852,-66.63898,PurpleAir Sensor,PurpleAir
23,370393,,2024-02-07T14:12:40+00:00,2022-11-09T20:23:13+00:00,1632576,50.18735,-121.57375,PurpleAir Sensor,PurpleAir
24,290384,,2024-02-07T14:12:40+00:00,2022-02-17T23:56:17+00:00,1500153,60.795826,-115.80477,PurpleAir Sensor,PurpleAir
25,65509,,2024-02-07T14:12:40+00:00,2021-01-19T23:59:37+00:00,2430324,49.174988,-122.80707,PurpleAir Sensor,PurpleAir
26,1665033,,2024-02-07T14:12:40+00:00,2023-10-05T15:20:43+00:00,537485,50.769398,-119.01212,N/A,OpenAQ admin
27,383318,,2024-02-07T14:12:40+00:00,2022-07-25T19:16:35+00:00,876060,50.06855,-95.35367,PurpleAir Sensor,PurpleAir
28,278018,,2024-02-07T14:12:40+00:00,2022-01-25T20:19:48+00:00,2038948,55.94443,-113.808464,PurpleAir Sensor,PurpleAir
29,222501,,2024-02-07T14:12:40+00:00,2021-03-13T17:38:03+00:00,3188214,60.71157,-135.08955,PurpleAir Sensor,PurpleAir
30,342749,,2024-02-07T14:12:40+00:00,2022-05-24T21:03:53+00:00,814950,52.059166,-107.980385,PurpleAir Sensor,PurpleAir
31,337955,,2024-02-07T14:12:39+00:00,2021-12-03T22:00:11+00:00,2015052,43.66053,-79.39813,PurpleAir Sensor,PurpleAir
32,1408755,,2024-02-07T14:12:39+00:00,2023-08-09T15:26:30+00:00,634848,53.480923,-112.952194,N/A,OpenAQ admin
