,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
0,1018,Parry Sound,pm25,PM2.5,µg/m³,ONTARIO,2023-07-17T16:00:00+00:00,2022-10-04T18:00:00+00:00,45.3378,-80.0378,Government Monitor,Unknown Governmental Organization,250.0,16.220298507462687,80.0,3.0,5.0,15.0,1.0
1,1033,Peterborough,pm25,PM2.5,µg/m³,ONTARIO,2023-07-17T16:00:00+00:00,2016-03-06T19:00:00+00:00,44.3,-78.35,Government Monitor,Unknown Governmental Organization,170.0,15.409691629955947,90.875,2.0,5.0,15.0,1.0
2,1037243,AQSU-7260,pm25,PM2.5,µg/m³,None,2024-02-03T03:22:33+00:00,2023-06-03T11:44:51+00:00,44.80072,-63.659683,PurpleAir Sensor,PurpleAir,40.0,5.723626949384405,29.0,0.0,0.033,7.3,0.0
3,1037344,AQSU-93FA,pm25,PM2.5,µg/m³,None,2023-07-08T14:53:52+00:00,2023-05-30T21:55:38+00:00,44.6083,-63.4789,PurpleAir Sensor,PurpleAir,130.0,11.203104751619872,43.0,0.35124999999999995,3.525,15.0,0.075
4,1037393,AQSU-9157,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:05+00:00,2023-05-29T21:26:05+00:00,44.7128,-63.6786,PurpleAir Sensor,PurpleAir,160.0,9.809209084722696,35.54999999999973,0.09645000000000001,3.5,13.0,0.0
5,1037548,AQSU-CE81,pm25,PM2.5,µg/m³,None,2023-08-24T13:17:17+00:00,2023-05-29T23:43:26+00:00,44.6658,-63.8922,PurpleAir Sensor,PurpleAir,970.0,12.676656722891565,38.0,0.1,3.6,14.0,0.0
6,1038146,AQSU-996B,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:30+00:00,2023-05-30T17:14:38+00:00,43.7644,-65.3167,PurpleAir Sensor,PurpleAir,520.0,10.346772237380627,35.0,0.3,3.3,13.0,0.0
7,1038201,AQSU-62FD,pm25,PM2.5,µg/m³,None,2023-10-07T16:04:16+00:00,2023-05-30T18:49:21+00:00,44.2786,-64.357,PurpleAir Sensor,PurpleAir,100.0,10.522342816091953,38.0,0.04895000000000001,3.3,14.0,0.0
8,1038705,AQSU-BF9B,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:21+00:00,2023-05-31T14:39:40+00:00,45.06894,-64.47804,PurpleAir Sensor,PurpleAir,47.0,8.816254564243886,32.0,0.035,2.4,13.0,0.0
9,1038736,Garage TakuTaut Pessamit,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:33+00:00,2023-05-31T15:37:08+00:00,48.95027,-68.65353,PurpleAir Sensor,PurpleAir,230.0,11.834212374697547,47.0,0.0071,1.5,14.0,0.0
